hotel,price_for_5_nights,score,reviews_count
Suite51,Not Available,"Scored 9.6
9.6",26 reviews
"Excelsior Hotel Gallia, a Luxury Collection Hotel, Milan",Not Available,"Scored 8.7
8.7",709 reviews
Villa Massari,Not Available,"Scored 8.3
8.3",418 reviews
JOIVY Charming Flats in the heart of Porta Nuova,Not Available,"Scored 8.5
8.5",452 reviews
easyhomes - Central Station,Not Available,"Scored 8.5
8.5",27 reviews
Hotel Sempione,Not Available,"Scored 7.7
7.7","5,508 reviews"
Velasca Tower Apartments,Not Available,"Scored 8.6
8.6",96 reviews
Milano Ticinese Guest House,Not Available,"Scored 9.2
9.2",40 reviews
Milan Retreats,Not Available,"Scored 9.1
9.1","2,433 reviews"
iH Hotels Milano Gioia,Not Available,"Scored 7.7
7.7","4,814 reviews"
HACCA Collection - Buenos Aires & Central Station 1BR,Not Available,"Scored 9.2
9.2",13 reviews
HACCA Collection - Buenos Aires & Central Station Studio,Not Available,"Scored 8.1
8.1",9 reviews
Easylife - Moderno e chic con LED Atmosferici,Not Available,"Scored 8.8
8.8",4 reviews
Easylife - Cozy suite with Terrace in Brera,Not Available,"Scored 8.0
8.0",1 review
HACCA Collection - Buenos Aires 1BR,Not Available,"Scored 8.6
8.6",19 reviews
Mila Apartments Pisacane,Not Available,"Scored 8.1
8.1",11 reviews
LE16 - Duomo-Loreto - Central - Modern,Not Available,"Scored 9.1
9.1",10 reviews
Casa Carmen,Not Available,"Scored 9.5
9.5",43 reviews
Easylife - Colore e design in Repubblica,Not Available,"Scored 9.7
9.7",3 reviews
Easylife - Sofisticato monolocale con terrazzino nel cuore di Porta Venezia,Not Available,"Scored 8.6
8.6",36 reviews
Easylife - Oasi chic pochi passi dai Navigli,Not Available,"Scored 7.9
7.9",14 reviews
LuxNest I Porta Nuova Milan - Via Pirelli,Not Available,"Scored 8.3
8.3",73 reviews
Easylife - Gem in the heart of the Navigli,Not Available,Not Available,Not Available
Casa Colonna Romantic Apartment Corso di Porta Ticinese,Not Available,"Scored 7.4
7.4",25 reviews
Casa Magenta a 4 minuti dalla metro WIFI & AC,Not Available,Not Available,Not Available
Easylife - Eleganza e design in Porta Venezia,Not Available,"Scored 8.9
8.9",22 reviews
